Name,CPU,vCPUs,NUMA Nodes,Memory,Avg Score,StdDev,StdDev%,#Runs
Standard_F2s_v2,Intel(R) Xeon(R) Platinum 8168 CPU @ 2.70GHz,2,1,4,35925,603,1.68%,308
Standard_F2s_v2,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,2,1,4,35659,344,0.96%,112
Standard_F4s_v2,Intel(R) Xeon(R) Platinum 8168 CPU @ 2.70GHz,4,1,8,65819,851,1.29%,245
Standard_F4s_v2,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,4,1,8,65683,459,0.70%,98
Standard_F8s_v2,Intel(R) Xeon(R) Platinum 8168 CPU @ 2.70GHz,8,1,16,136027,1272,0.94%,238
Standard_F8s_v2,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,8,1,16,135829,912,0.67%,91
Standard_F16s_v2,Intel(R) Xeon(R) Platinum 8168 CPU @ 2.70GHz,16,1,32,271369,1955,0.72%,280
Standard_F16s_v2,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,16,1,32,271236,1325,0.49%,105
Standard_F32s_v2,Intel(R) Xeon(R) Platinum 8168 CPU @ 2.70GHz,32,1,64,538734,3795,0.70%,245
Standard_F32s_v2,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,32,1,64,537915,7646,1.42%,91
Standard_F48s_v2,Intel(R) Xeon(R) Platinum 8168 CPU @ 2.70GHz,48,2,96,780596,8712,1.12%,182
Standard_F48s_v2,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,48,1,96,749662,21751,2.90%,56
Standard_F64s_v2,Intel(R) Xeon(R) Platinum 8168 CPU @ 2.70GHz,64,2,128,1035424,11557,1.12%,175
Standard_F64s_v2,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,64,2,128,1023867,17292,1.69%,63
Standard_F72s_v2,Intel(R) Xeon(R) Platinum 8168 CPU @ 2.70GHz,72,2,144,1126078,12094,1.07%,182
Standard_F72s_v2,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,72,2,144,1120116,15662,1.40%,42
Standard_FX4mds,Intel(R) Xeon(R) Gold 6246R CPU @ 3.40GHz,4,1,82.5,77794,711,0.91%,42
Standard_FX12mds,Intel(R) Xeon(R) Gold 6246R CPU @ 3.40GHz,12,1,247.8,228808,827,0.36%,42
Standard_FX24mds,Intel(R) Xeon(R) Gold 6246R CPU @ 3.40GHz,24,1,495.8,475203,2142,0.45%,42
Standard_FX36mds,Intel(R) Xeon(R) Gold 6246R CPU @ 3.40GHz,36,2,744.1,678947,10647,1.57%,42
Standard_FX48mds,Intel(R) Xeon(R) Gold 6246R CPU @ 3.40GHz,48,2,992.1,899165,12000,1.33%,42
Standard_B1s,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,1,1,1,18768,429,2.29%,35
