id,vcpu,memory,ssd_storage,hdd_storage,gpu_units,platform,source,gwp_manufacturing_1h_impact,energy_1h_load0,gwp_use_1h_load0_FRA,gwp_use_1h_load0_GBR,gwp_use_1h_load0_USA,energy_1h_load50,gwp_use_1h_load50_FRA,gwp_use_1h_load50_GBR,gwp_use_1h_load50_USA,energy_1h_load100,gwp_use_1h_load100_FRA,gwp_use_1h_load100_GBR,gwp_use_1h_load100_USA
d48as_v4,48,192.0,384.0,0.0,0,Dasv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.01,89.17600125,0.0087,0.0219,0.033,177.0053775,0.0173,0.044,0.065,215.0899275,0.0211,0.053,0.08
d64as_v4,64,256.0,512.0,0.0,0,Dasv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.014,118.90133499999997,0.0117,0.0292,0.044,236.00717,0.0231,0.058,0.087,286.78657,0.0281,0.071,0.106
d96as_v4,96,384.0,768.0,0.0,0,Dasv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.021,178.3520025,0.0175,0.044,0.066,354.010755,0.035,0.087,0.131,430.179855,0.042,0.106,0.159
d2as_v5,2,8.0,0.0,0.0,0,Dasv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.00044,3.715666718749999,0.00036,0.00091,0.00137,7.3752240625,0.00072,0.00181,0.00273,8.9620803125,0.00088,0.0022,0.00332
d4as_v5,4,16.0,0.0,0.0,0,Dasv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.00087,7.431333437499998,0.00073,0.00183,0.00275,14.750448125,0.00145,0.0036,0.0055,17.924160625,0.00176,0.0044,0.0066
d8as_v5,8,32.0,0.0,0.0,0,Dasv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.0017,14.862666874999997,0.00146,0.0037,0.0055,29.50089625,0.00289,0.0073,0.0109,35.84832125,0.0035,0.0088,0.0133
d16as_v5,16,64.0,0.0,0.0,0,Dasv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.0035,29.725333749999994,0.00291,0.0073,0.011,59.0017925,0.0058,0.0145,0.0218,71.6966425,0.007,0.0176,0.0265
d32as_v5,32,128.0,0.0,0.0,0,Dasv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.007,59.45066749999999,0.0058,0.0146,0.022,118.003585,0.0116,0.029,0.044,143.393285,0.0141,0.035,0.053
d48as_v5,48,192.0,0.0,0.0,0,Dasv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.01,89.17600125,0.0087,0.0219,0.033,177.0053775,0.0173,0.044,0.065,215.0899275,0.0211,0.053,0.08
d64as_v5,64,256.0,0.0,0.0,0,Dasv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.014,118.90133499999997,0.0117,0.0292,0.044,236.00717,0.0231,0.058,0.087,286.78657,0.0281,0.071,0.106
