Name,API Name,Instance Family,CoreMark Score,FFmpeg FPS,Instance Memory,Compute Units (ECU),vCPUs,Instance Storage,Network Performance,Max IPs,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
TRN1N 32xlarge,trn1n.32xlarge,trn1n,"29.254,736",214.0 fps,512 GiB,0 units,128 vCPUs,7600 GB (4×1900 GB NVMe SSD),16x 100 Gigabit,4000,unavailable,unavailable,unavailable,unavailable,unavailable
P5 48xlarge,p5.48xlarge,p5,"32.881,217",N/A,2048 GiB,0 units,192 vCPUs,30400 GB (8×3800 GB NVMe SSD),3200 Gigabit,3200,unavailable,unavailable,unavailable,unavailable,unavailable
P5en High Performance Computing GPU 48xlarge,p5en.48xlarge,p5en,"34.506,556",N/A,2048 GiB,0 units,192 vCPUs,30400 GB (8×3800 GB NVMe SSD),3200 Gigabit,3200,unavailable,unavailable,unavailable,unavailable,unavailable
DL1 24xlarge,dl1.24xlarge,dl1,"27.591,916",208.0 fps,768 GiB,0 units,96 vCPUs,4000 GB (4×1000 GB NVMe SSD),4x 100 Gigabit,3000,unavailable,unavailable,unavailable,unavailable,unavailable
P4D Highest Performance GPU 24xlarge,p4d.24xlarge,p4d,"25.788,15",N/A,1152 GiB,345 units,96 vCPUs,8000 GB (8×1000 GB NVMe SSD),4x 100 Gigabit,3000,€23.5117 hourly,€14.9063 hourly,€7.7832 hourly,unavailable,unavailable
P4DE 24xlarge,p4de.24xlarge,p4de,"27.144,408",N/A,1152 GiB,345 units,96 vCPUs,8000 GB (8×1000 GB NVMe SSD),4x 100 Gigabit,3000,€29.3896 hourly,€18.6329 hourly,€10.611 hourly,unavailable,unavailable
G6e Graphics and Machine Learning GPU 48xlarge,g6e.48xlarge,g6e,"30.857,055",144.0 fps,1536 GiB,0 units,192 vCPUs,7600 GB (4×1900 GB NVMe SSD),400 Gigabit,2000,€32.2906 hourly,€20.3431 hourly,€10.2103 hourly,€39.8602 hourly,€27.9127 hourly
TRN1 32xlarge,trn1.32xlarge,trn1,"27.985,727",219.0 fps,512 GiB,0 units,128 vCPUs,7600 GB (4×1900 GB NVMe SSD),8x 100 Gigabit,2000,unavailable,unavailable,unavailable,unavailable,unavailable
P6-B200 High Performance and Machine Learning GPU 48xlarge,p6-b200.48xlarge,p6-b200,"32.228,608",N/A,2048 GiB,0 units,192 vCPUs,30400 GB (8×3800 GB NVMe SSD),3200 Gigabit,1600,unavailable,unavailable,unavailable,unavailable,unavailable
C8A 48xlarge,c8a.48xlarge,c8a,N/A,N/A,384 GiB,0 units,192 vCPUs,EBS only,75 Gigabit,1536,unavailable,unavailable,unavailable,unavailable,unavailable
C8A Metal-48xl,c8a.metal-48xl,c8a,N/A,N/A,384 GiB,0 units,192 vCPUs,EBS only,75 Gigabit,1536,unavailable,unavailable,unavailable,unavailable,unavailable
C8I 32xlarge,c8i.32xlarge,c8i,"33.085,194",310.0 fps,256 GiB,0 units,128 vCPUs,EBS only,50 Gigabit,1536,unavailable,unavailable,unavailable,unavailable,unavailable
C8I 48xlarge,c8i.48xlarge,c8i,"34.348,523",326.0 fps,384 GiB,0 units,192 vCPUs,EBS only,75 Gigabit,1536,unavailable,unavailable,unavailable,unavailable,unavailable
C8I 96xlarge,c8i.96xlarge,c8i,"34.762,457",316.0 fps,768 GiB,0 units,384 vCPUs,EBS only,100 Gigabit,1536,unavailable,unavailable,unavailable,unavailable,unavailable
C8I Metal-48xl,c8i.metal-48xl,c8i,"37.285,608",294.0 fps,384 GiB,0 units,192 vCPUs,EBS only,75 Gigabit,1536,unavailable,unavailable,unavailable,unavailable,unavailable
C8I Metal-96xl,c8i.metal-96xl,c8i,"35.895,902",266.0 fps,768 GiB,0 units,384 vCPUs,EBS only,100 Gigabit,1536,unavailable,unavailable,unavailable,unavailable,unavailable
M8A 48xlarge,m8a.48xlarge,m8a,"47.892,72",412.0 fps,768 GiB,0 units,192 vCPUs,EBS only,75 Gigabit,1536,unavailable,unavailable,unavailable,unavailable,unavailable
M8A Metal-48xl,m8a.metal-48xl,m8a,"48.941,093",434.0 fps,768 GiB,0 units,192 vCPUs,EBS only,75 Gigabit,1536,unavailable,unavailable,unavailable,unavailable,unavailable
M8I 32xlarge,m8i.32xlarge,m8i,"34.065,747",311.0 fps,512 GiB,0 units,128 vCPUs,EBS only,50 Gigabit,1536,unavailable,unavailable,unavailable,unavailable,unavailable
M8I 48xlarge,m8i.48xlarge,m8i,"33.476,539",316.0 fps,768 GiB,0 units,192 vCPUs,EBS only,75 Gigabit,1536,unavailable,unavailable,unavailable,unavailable,unavailable
M8I 96xlarge,m8i.96xlarge,m8i,"33.461,603",317.0 fps,1536 GiB,0 units,384 vCPUs,EBS only,100 Gigabit,1536,unavailable,unavailable,unavailable,unavailable,unavailable
M8I Metal-48xl,m8i.metal-48xl,m8i,"34.967,073",298.0 fps,768 GiB,0 units,192 vCPUs,EBS only,75 Gigabit,1536,unavailable,unavailable,unavailable,unavailable,unavailable
M8I Metal-96xl,m8i.metal-96xl,m8i,"35.364,847",255.0 fps,1536 GiB,0 units,384 vCPUs,EBS only,100 Gigabit,1536,unavailable,unavailable,unavailable,unavailable,unavailable
R8A 48xlarge,r8a.48xlarge,r8a,"47.208,274",411.0 fps,1536 GiB,0 units,192 vCPUs,EBS only,75 Gigabit,1536,unavailable,unavailable,unavailable,unavailable,unavailable
R8A Metal-48xl,r8a.metal-48xl,r8a,"48.262,548",431.0 fps,1536 GiB,0 units,192 vCPUs,EBS only,75 Gigabit,1536,unavailable,unavailable,unavailable,unavailable,unavailable
R8I 32xlarge,r8i.32xlarge,r8i,"33.799,009",315.0 fps,1024 GiB,0 units,128 vCPUs,EBS only,50 Gigabit,1536,€9.1921 hourly,unavailable,€1.2614 hourly,€14.2384 hourly,unavailable
R8I 48xlarge,r8i.48xlarge,r8i,"31.645,57",341.0 fps,1536 GiB,0 units,192 vCPUs,EBS only,75 Gigabit,1536,€13.7881 hourly,unavailable,€2.1349 hourly,€21.3576 hourly,unavailable
R8I 96xlarge,r8i.96xlarge,r8i,"31.648,908",315.0 fps,3072 GiB,0 units,384 vCPUs,EBS only,100 Gigabit,1536,€27.5762 hourly,unavailable,€9.6015 hourly,€42.7153 hourly,unavailable
R8I Metal-48xl,r8i.metal-48xl,r8i,"34.508,541",292.0 fps,1536 GiB,0 units,192 vCPUs,EBS only,75 Gigabit,1536,€13.7881 hourly,unavailable,€8.2003 hourly,€21.3576 hourly,unavailable
R8I Metal-96xl,r8i.metal-96xl,r8i,"34.855,35",280.0 fps,3072 GiB,0 units,384 vCPUs,EBS only,100 Gigabit,1536,€27.5762 hourly,unavailable,€2.7576 hourly,€42.7153 hourly,unavailable
C8GN 24xlarge,c8gn.24xlarge,c8gn,"30.923,85",297.0 fps,192 GiB,0 units,96 vCPUs,EBS only,300 Gigabit,1200,€5.5521 hourly,unavailable,€1.0261 hourly,unavailable,unavailable
C8GN 48xlarge,c8gn.48xlarge,c8gn,"29.944,602",278.0 fps,384 GiB,0 units,192 vCPUs,EBS only,600 Gigabit,1200,€11.1042 hourly,unavailable,€1.4321 hourly,unavailable,unavailable
C8GN Metal-24xl,c8gn.metal-24xl,c8gn,N/A,N/A,192 GiB,0 units,96 vCPUs,EBS only,300 Gigabit,1200,unavailable,unavailable,unavailable,unavailable,unavailable
C8GN Metal-48xl,c8gn.metal-48xl,c8gn,N/A,N/A,384 GiB,0 units,192 vCPUs,EBS only,600 Gigabit,1200,unavailable,unavailable,unavailable,unavailable,unavailable
I8GE 48xlarge,i8ge.48xlarge,i8ge,"30.745,58",275.0 fps,1536 GiB,0 units,192 vCPUs,120000 GB (16×7500 GB NVMe SSD),300 Gigabit,1200,€23.3257 hourly,unavailable,unavailable,unavailable,unavailable
I8GE Metal-48xl,i8ge.metal-48xl,i8ge,"29.969,281",176.0 fps,1536 GiB,0 units,192 vCPUs,120000 GB (16×7500 GB NVMe SSD),300 Gigabit,1200,€23.3257 hourly,unavailable,unavailable,unavailable,unavailable
R8GB 24xlarge,r8gb.24xlarge,r8gb,N/A,N/A,768 GiB,0 units,96 vCPUs,EBS only,200 Gigabit,1200,unavailable,unavailable,unavailable,unavailable,unavailable
R8GB Metal-24xl,r8gb.metal-24xl,r8gb,N/A,N/A,768 GiB,0 units,96 vCPUs,EBS only,200 Gigabit,1200,unavailable,unavailable,unavailable,unavailable,unavailable
R8GN 24xlarge,r8gn.24xlarge,r8gn,N/A,N/A,768 GiB,0 units,96 vCPUs,EBS only,300 Gigabit,1200,unavailable,unavailable,unavailable,unavailable,unavailable
R8GN 48xlarge,r8gn.48xlarge,r8gn,N/A,N/A,1536 GiB,0 units,192 vCPUs,EBS only,600 Gigabit,1200,unavailable,unavailable,unavailable,unavailable,unavailable
R8GN Metal-24xl,r8gn.metal-24xl,r8gn,N/A,N/A,768 GiB,0 units,96 vCPUs,EBS only,300 Gigabit,1200,unavailable,unavailable,unavailable,unavailable,unavailable
R8GN Metal-48xl,r8gn.metal-48xl,r8gn,N/A,N/A,1536 GiB,0 units,192 vCPUs,EBS only,600 Gigabit,1200,unavailable,unavailable,unavailable,unavailable,unavailable
C8A 16xlarge Extra Large,c8a.16xlarge,c8a,"50.900,005",418.0 fps,128 GiB,0 units,64 vCPUs,EBS only,30 Gigabit,1024,unavailable,unavailable,unavailable,unavailable,unavailable
C8A 24xlarge,c8a.24xlarge,c8a,"50.935,948",351.0 fps,192 GiB,0 units,96 vCPUs,EBS only,40 Gigabit,1024,unavailable,unavailable,unavailable,unavailable,unavailable
C8A Metal-24xl,c8a.metal-24xl,c8a,"45.622,33",146.0 fps,192 GiB,0 units,96 vCPUs,EBS only,40 Gigabit,1024,unavailable,unavailable,unavailable,unavailable,unavailable
C8I-FLEX 16xlarge Extra Large,c8i-flex.16xlarge,c8i-flex,"34.496,637",276.0 fps,128 GiB,0 units,64 vCPUs,EBS only,Up to 30 Gigabit,1024,unavailable,unavailable,unavailable,unavailable,unavailable
C8I 16xlarge Extra Large,c8i.16xlarge,c8i,"33.800,913",287.0 fps,128 GiB,0 units,64 vCPUs,EBS only,30 Gigabit,1024,unavailable,unavailable,unavailable,unavailable,unavailable
C8I 24xlarge,c8i.24xlarge,c8i,"33.634,172",307.0 fps,192 GiB,0 units,96 vCPUs,EBS only,40 Gigabit,1024,unavailable,unavailable,unavailable,unavailable,unavailable
M8A 16xlarge Extra Large,m8a.16xlarge,m8a,"48.663,953",417.0 fps,256 GiB,0 units,64 vCPUs,EBS only,30 Gigabit,1024,unavailable,unavailable,unavailable,unavailable,unavailable
M8A 24xlarge,m8a.24xlarge,m8a,"47.707,854",427.0 fps,384 GiB,0 units,96 vCPUs,EBS only,40 Gigabit,1024,unavailable,unavailable,unavailable,unavailable,unavailable
M8A Metal-24xl,m8a.metal-24xl,m8a,"50.700,59",419.0 fps,384 GiB,0 units,96 vCPUs,EBS only,40 Gigabit,1024,unavailable,unavailable,unavailable,unavailable,unavailable
M8I-FLEX 16xlarge Extra Large,m8i-flex.16xlarge,m8i-flex,"34.381,984",274.0 fps,256 GiB,0 units,64 vCPUs,EBS only,Up to 30 Gigabit,1024,unavailable,unavailable,unavailable,unavailable,unavailable
M8I 16xlarge Extra Large,m8i.16xlarge,m8i,"33.452,275",292.0 fps,256 GiB,0 units,64 vCPUs,EBS only,30 Gigabit,1024,unavailable,unavailable,unavailable,unavailable,unavailable
M8I 24xlarge,m8i.24xlarge,m8i,"32.381,672",304.0 fps,384 GiB,0 units,96 vCPUs,EBS only,40 Gigabit,1024,unavailable,unavailable,unavailable,unavailable,unavailable
R8A 16xlarge Extra Large,r8a.16xlarge,r8a,"48.383,55",421.0 fps,512 GiB,0 units,64 vCPUs,EBS only,30 Gigabit,1024,unavailable,unavailable,unavailable,unavailable,unavailable
R8A 24xlarge,r8a.24xlarge,r8a,"47.401,534",415.0 fps,768 GiB,0 units,96 vCPUs,EBS only,40 Gigabit,1024,unavailable,unavailable,unavailable,unavailable,unavailable
R8A Metal-24xl,r8a.metal-24xl,r8a,"51.089,127",429.0 fps,768 GiB,0 units,96 vCPUs,EBS only,40 Gigabit,1024,unavailable,unavailable,unavailable,unavailable,unavailable
R8I-FLEX 16xlarge Extra Large,r8i-flex.16xlarge,r8i-flex,"33.176,666",275.0 fps,512 GiB,0 units,64 vCPUs,EBS only,Up to 30 Gigabit,1024,€4.3662 hourly,unavailable,€1.3818 hourly,€6.7632 hourly,unavailable
R8I 16xlarge Extra Large,r8i.16xlarge,r8i,"34.108,351",279.0 fps,512 GiB,0 units,64 vCPUs,EBS only,30 Gigabit,1024,€4.596 hourly,unavailable,€1.0689 hourly,€7.1192 hourly,unavailable
R8I 24xlarge,r8i.24xlarge,r8i,"33.557,047",300.0 fps,768 GiB,0 units,96 vCPUs,EBS only,40 Gigabit,1024,€6.894 hourly,unavailable,€1.4687 hourly,€10.6788 hourly,unavailable
G6e Graphics and Machine Learning GPU 24xlarge,g6e.24xlarge,g6e,"30.674,847",142.0 fps,768 GiB,0 units,96 vCPUs,3800 GB (2×1900 GB NVMe SSD),200 Gigabit,1000,€16.1453 hourly,€10.1716 hourly,€5.5391 hourly,€19.9301 hourly,€13.9563 hourly
C6IN 32xlarge,c6in.32xlarge,c6in,"27.081,923",224.0 fps,256 GiB,0 units,128 vCPUs,EBS only,200 Gigabit,800,€7.0841 hourly,€4.463 hourly,€1.5598 hourly,€12.1305 hourly,€4.463 hourly
C6IN Metal,c6in.metal,c6in,"29.531,192",274.0 fps,256 GiB,0 units,128 vCPUs,EBS only,200 Gigabit,800,€7.0841 hourly,€4.463 hourly,€0.7084 hourly,€12.1305 hourly,€4.463 hourly
C8GN 16xlarge Extra Large,c8gn.16xlarge,c8gn,"30.100,083",296.0 fps,128 GiB,0 units,64 vCPUs,EBS only,200 Gigabit,800,€3.7014 hourly,unavailable,€0.8877 hourly,unavailable,unavailable
I8GE 18xlarge,i8ge.18xlarge,i8ge,"30.222,894",297.0 fps,576 GiB,0 units,72 vCPUs,45000 GB (6×7500 GB NVMe SSD),112.5 Gigabit,800,€8.7471 hourly,unavailable,unavailable,unavailable,unavailable
I8GE 24xlarge,i8ge.24xlarge,i8ge,"30.323,706",297.0 fps,768 GiB,0 units,96 vCPUs,60000 GB (8×7500 GB NVMe SSD),150 Gigabit,800,€11.6629 hourly,unavailable,unavailable,unavailable,unavailable
I8GE Metal-24xl,i8ge.metal-24xl,i8ge,"32.685,079",150.0 fps,768 GiB,0 units,96 vCPUs,60000 GB (8×7500 GB NVMe SSD),150 Gigabit,800,€11.6629 hourly,unavailable,unavailable,unavailable,unavailable
M6IDN 32xlarge,m6idn.32xlarge,m6idn,"26.244,997",210.0 fps,512 GiB,0 units,128 vCPUs,7600 GB (4×1900 GB NVMe SSD),200 Gigabit,800,€10.3966 hourly,€6.5499 hourly,€1.3217 hourly,€15.443 hourly,€11.5962 hourly
M6IDN Metal,m6idn.metal,m6idn,"29.169,401",253.0 fps,512 GiB,0 units,128 vCPUs,7600 GB (4×1900 GB NVMe SSD),200 Gigabit,800,€10.3966 hourly,€6.5499 hourly,€1.0397 hourly,€15.443 hourly,€6.5499 hourly
M6IN 32xlarge,m6in.32xlarge,m6in,"27.485,742",213.0 fps,512 GiB,0 units,128 vCPUs,EBS only,200 Gigabit,800,€9.0489 hourly,€5.7008 hourly,€1.3702 hourly,€14.0953 hourly,€5.7008 hourly
M6IN Metal,m6in.metal,m6in,"28.502,209",270.0 fps,512 GiB,0 units,128 vCPUs,EBS only,200 Gigabit,800,€9.0489 hourly,€5.7008 hourly,€0.9049 hourly,€14.0953 hourly,€5.7008 hourly
R6IDN 32xlarge,r6idn.32xlarge,r6idn,N/A,N/A,1024 GiB,0 units,128 vCPUs,7600 GB (4×1900 GB NVMe SSD),200 Gigabit,800,€12.7711 hourly,€8.0458 hourly,€1.7307 hourly,€17.8175 hourly,€13.0922 hourly
R6IDN Metal,r6idn.metal,r6idn,N/A,N/A,1024 GiB,0 units,128 vCPUs,7600 GB (4×1900 GB NVMe SSD),200 Gigabit,800,€12.7711 hourly,€8.0458 hourly,€1.2771 hourly,€17.8175 hourly,€8.0458 hourly
R6IN 32xlarge,r6in.32xlarge,r6in,N/A,N/A,1024 GiB,0 units,128 vCPUs,EBS only,200 Gigabit,800,€11.4234 hourly,€7.1968 hourly,€2.2675 hourly,€16.4698 hourly,€7.1968 hourly
R6IN Metal,r6in.metal,r6in,N/A,N/A,1024 GiB,0 units,128 vCPUs,EBS only,200 Gigabit,800,€11.4234 hourly,€7.1968 hourly,€1.1424 hourly,€16.4698 hourly,€12.2431 hourly
R8GB 16xlarge Extra Large,r8gb.16xlarge,r8gb,N/A,N/A,512 GiB,0 units,64 vCPUs,EBS only,133.33 Gigabit,800,unavailable,unavailable,unavailable,unavailable,unavailable
R8GN 16xlarge Extra Large,r8gn.16xlarge,r8gn,N/A,N/A,512 GiB,0 units,64 vCPUs,EBS only,200 Gigabit,800,unavailable,unavailable,unavailable,unavailable,unavailable
U7IN-16TB 224xlarge,u7in-16tb.224xlarge,u7in-16tb,N/A,N/A,16384 GiB,0 units,896 vCPUs,EBS only,200 Gigabit,800,€186.5959 hourly,€114.9888 hourly,unavailable,€221.9204 hourly,€150.3133 hourly
U7IN-24TB 224xlarge,u7in-24tb.224xlarge,u7in-24tb,N/A,N/A,24576 GiB,0 units,896 vCPUs,EBS only,200 Gigabit,800,unavailable,unavailable,unavailable,unavailable,unavailable
U7IN-32TB 224xlarge,u7in-32tb.224xlarge,u7in-32tb,N/A,N/A,32768 GiB,0 units,896 vCPUs,EBS only,200 Gigabit,800,unavailable,unavailable,unavailable,unavailable,unavailable
C8A 12xlarge Extra Large,c8a.12xlarge,c8a,"48.434,679",146.0 fps,96 GiB,0 units,48 vCPUs,EBS only,22.5 Gigabit,768,unavailable,unavailable,unavailable,unavailable,unavailable
M8A 12xlarge Extra Large,m8a.12xlarge,m8a,"46.858,36",415.0 fps,192 GiB,0 units,48 vCPUs,EBS only,22.5 Gigabit,768,unavailable,unavailable,unavailable,unavailable,unavailable
R8A 12xlarge Extra Large,r8a.12xlarge,r8a,"47.383,157",407.0 fps,384 GiB,0 units,48 vCPUs,EBS only,22.5 Gigabit,768,unavailable,unavailable,unavailable,unavailable,unavailable
C5 High-CPU 18xlarge,c5.18xlarge,c5,"23.564,065",190.0 fps,144 GiB,281 units,72 vCPUs,EBS only,25 Gigabit,750,€2.9928 hourly,€1.8855 hourly,€0.4661 hourly,€5.8314 hourly,€4.7241 hourly
C5 High-CPU 24xlarge,c5.24xlarge,c5,"25.100,402",190.0 fps,192 GiB,375 units,96 vCPUs,EBS only,25 Gigabit,750,€3.9905 hourly,€2.5138 hourly,€0.5917 hourly,€7.7752 hourly,€6.2985 hourly
C5 High-CPU Metal,c5.metal,c5,"28.824,674",202.0 fps,192 GiB,375 units,96 vCPUs,EBS only,25 Gigabit,750,€3.9905 hourly,€2.5138 hourly,€1.3113 hourly,€7.7752 hourly,€6.2985 hourly
C5A 16xlarge Extra Large,c5a.16xlarge,c5a,"25.083,088",185.0 fps,128 GiB,0 units,64 vCPUs,EBS only,20 Gigabit,750,€2.3861 hourly,€1.5033 hourly,€0.7121 hourly,€4.9092 hourly,€4.0265 hourly
C5A 24xlarge,c5a.24xlarge,c5a,"23.764,259",209.0 fps,192 GiB,0 units,96 vCPUs,EBS only,20 Gigabit,750,€3.5791 hourly,€2.2549 hourly,€1.0652 hourly,€7.3638 hourly,€6.0397 hourly
C5AD 16xlarge Extra Large,c5ad.16xlarge,c5ad,N/A,N/A,128 GiB,0 units,64 vCPUs,2400 GB (2×1200 GB NVMe SSD),20 Gigabit,750,€2.7426 hourly,€1.7278 hourly,€0.9084 hourly,€5.2658 hourly,€4.251 hourly
C5AD 24xlarge,c5ad.24xlarge,c5ad,N/A,N/A,192 GiB,0 units,96 vCPUs,3800 GB (2×1900 GB NVMe SSD),20 Gigabit,750,€4.1139 hourly,€2.5917 hourly,€1.2062 hourly,€7.8987 hourly,€6.3765 hourly
C5 High-CPU 18xlarge,c5d.18xlarge,c5d,"24.381,324",189.0 fps,144 GiB,281 units,72 vCPUs,1800 GB (2×900 GB NVMe SSD),25 Gigabit,750,€3.4248 hourly,€2.1572 hourly,€0.948 hourly,€6.2634 hourly,€4.9958 hourly
C5 High-CPU 24xlarge,c5d.24xlarge,c5d,"26.723,677",198.0 fps,192 GiB,375 units,96 vCPUs,3600 GB (4×900 GB NVMe SSD),25 Gigabit,750,€4.5664 hourly,€2.8771 hourly,€0.9594 hourly,€8.3512 hourly,€6.6619 hourly
C5 High-CPU Metal,c5d.metal,c5d,"34.725,237",202.0 fps,192 GiB,375 units,96 vCPUs,3600 GB (4×900 GB NVMe SSD),25 Gigabit,750,€4.5664 hourly,€2.8771 hourly,€1.5994 hourly,€8.3512 hourly,€6.6619 hourly
C5N 18xlarge,c5n.18xlarge,c5n,"24.990,629",189.0 fps,192 GiB,281 units,72 vCPUs,EBS only,100 Gigabit,750,€3.7951 hourly,€2.3912 hourly,€0.7171 hourly,€6.6336 hourly,€5.2298 hourly
C5N Metal,c5n.metal,c5n,"26.274,304",184.0 fps,192 GiB,0 units,72 vCPUs,EBS only,100 Gigabit,750,€3.7951 hourly,€2.3912 hourly,€1.1859 hourly,€6.6336 hourly,€5.2298 hourly
C6A 16xlarge Extra Large,c6a.16xlarge,c6a,"27.779,707",227.0 fps,128 GiB,0 units,64 vCPUs,EBS only,25 Gigabit,750,€2.3943 hourly,€1.5784 hourly,€0.8452 hourly,€4.9175 hourly,€1.5784 hourly
C6A 24xlarge,c6a.24xlarge,c6a,"30.084,236",240.0 fps,192 GiB,0 units,96 vCPUs,EBS only,37.5 Gigabit,750,€3.5914 hourly,€2.3676 hourly,€1.1596 hourly,€7.3762 hourly,€6.1523 hourly
C6A 32xlarge,c6a.32xlarge,c6a,"30.184,123",257.0 fps,256 GiB,0 units,128 vCPUs,EBS only,50 Gigabit,750,€4.7886 hourly,€3.1567 hourly,€1.0173 hourly,€9.8349 hourly,€3.1567 hourly
C6A 48xlarge,c6a.48xlarge,c6a,"31.186,652",234.0 fps,384 GiB,0 units,192 vCPUs,EBS only,50 Gigabit,750,€7.1828 hourly,€4.7351 hourly,€1.6553 hourly,€14.7524 hourly,€12.3047 hourly
C6A Metal,c6a.metal,c6a,"33.804,721",256.0 fps,384 GiB,0 units,192 vCPUs,EBS only,50 Gigabit,750,€7.1828 hourly,€4.7351 hourly,€1.2603 hourly,€14.7524 hourly,€4.7351 hourly
C6G 16xlarge Extra Large,c6g.16xlarge,c6g,"19.773,267",175.0 fps,128 GiB,0 units,64 vCPUs,EBS only,25 Gigabit,750,€2.1282 hourly,€1.3408 hourly,€0.5971 hourly,unavailable,unavailable
C6G Metal,c6g.metal,c6g,"19.888,624",179.0 fps,128 GiB,0 units,64 vCPUs,EBS only,25 Gigabit,750,€2.1282 hourly,€1.3408 hourly,€0.3887 hourly,unavailable,unavailable
C6GD 16xlarge Extra Large,c6gd.16xlarge,c6gd,"19.337,373",176.0 fps,128 GiB,0 units,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),25 Gigabit,750,€2.4409 hourly,€1.5263 hourly,€0.3415 hourly,unavailable,unavailable
C6GD Metal,c6gd.metal,c6gd,"19.960,08",179.0 fps,128 GiB,0 units,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),25 Gigabit,750,€2.4409 hourly,€1.5263 hourly,€0.3133 hourly,unavailable,unavailable
C6GN 16xlarge Extra Large,c6gn.16xlarge,c6gn,"19.579,689",176.0 fps,128 GiB,0 units,64 vCPUs,EBS only,100 Gigabit,750,€2.7042 hourly,€1.7008 hourly,€0.6706 hourly,unavailable,unavailable
C6I 16xlarge Extra Large,c6i.16xlarge,c6i,"26.558,661",186.0 fps,128 GiB,0 units,64 vCPUs,EBS only,25 Gigabit,750,€2.6603 hourly,€1.7537 hourly,€0.7566 hourly,€5.1835 hourly,€4.2769 hourly
C6I 24xlarge,c6i.24xlarge,c6i,"26.373,047",234.0 fps,192 GiB,0 units,96 vCPUs,EBS only,37.5 Gigabit,750,€3.9905 hourly,€2.6306 hourly,€0.9466 hourly,€7.7752 hourly,€2.6306 hourly
C6I 32xlarge,c6i.32xlarge,c6i,"28.314,575",215.0 fps,256 GiB,0 units,128 vCPUs,EBS only,50 Gigabit,750,€5.3206 hourly,€3.5075 hourly,€1.2268 hourly,€10.367 hourly,€8.5539 hourly
C6I Metal,c6i.metal,c6i,"30.034,54",269.0 fps,256 GiB,0 units,128 vCPUs,EBS only,50 Gigabit,750,€5.3206 hourly,€3.5075 hourly,€0.8423 hourly,€10.367 hourly,€8.5539 hourly
C6ID 16xlarge Extra Large,c6id.16xlarge,c6id,N/A,N/A,128 GiB,0 units,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),25 Gigabit,750,€3.1965 hourly,€2.0138 hourly,€0.9732 hourly,€5.7197 hourly,€4.537 hourly
C6ID 24xlarge,c6id.24xlarge,c6id,N/A,N/A,192 GiB,0 units,96 vCPUs,5700 GB (4×1425 GB NVMe SSD),37.5 Gigabit,750,€4.7947 hourly,€3.0207 hourly,€0.7796 hourly,€8.5795 hourly,€6.8054 hourly
C6ID 32xlarge,c6id.32xlarge,c6id,N/A,N/A,256 GiB,0 units,128 vCPUs,7600 GB (4×1900 GB NVMe SSD),50 Gigabit,750,€6.393 hourly,€4.0276 hourly,€1.7655 hourly,€11.4393 hourly,€4.0276 hourly
C6ID Metal,c6id.metal,c6id,N/A,N/A,256 GiB,0 units,128 vCPUs,7600 GB (4×1900 GB NVMe SSD),50 Gigabit,750,€6.393 hourly,€4.0276 hourly,€1.7307 hourly,€11.4393 hourly,€4.0276 hourly
C6IN 16xlarge Extra Large,c6in.16xlarge,c6in,"26.131,835",187.0 fps,128 GiB,0 units,64 vCPUs,EBS only,100 Gigabit,750,€3.5421 hourly,€2.2315 hourly,€1.061 hourly,€6.0652 hourly,€4.7547 hourly
C6IN 24xlarge,c6in.24xlarge,c6in,"27.599,531",237.0 fps,192 GiB,0 units,96 vCPUs,EBS only,150 Gigabit,750,€5.3131 hourly,€3.3472 hourly,€1.4684 hourly,€9.0978 hourly,€7.132 hourly
C7A 16xlarge Extra Large,c7a.16xlarge,c7a,"34.228,992",278.0 fps,128 GiB,0 units,64 vCPUs,EBS only,25 Gigabit,750,€3.2124 hourly,€2.1177 hourly,€1.0317 hourly,€5.7356 hourly,€4.6409 hourly
C7A 24xlarge,c7a.24xlarge,c7a,"33.850,494",316.0 fps,192 GiB,0 units,96 vCPUs,EBS only,37.5 Gigabit,750,€4.8186 hourly,€3.1766 hourly,€1.571 hourly,€8.6034 hourly,€6.9613 hourly
C7A 32xlarge,c7a.32xlarge,c7a,"34.867,503",237.0 fps,256 GiB,0 units,128 vCPUs,EBS only,50 Gigabit,750,€6.4248 hourly,€4.2354 hourly,€1.2983 hourly,€11.4711 hourly,€9.2818 hourly
C7A 48xlarge,c7a.48xlarge,c7a,"33.687,047",318.0 fps,384 GiB,0 units,192 vCPUs,EBS only,50 Gigabit,750,€9.6372 hourly,€6.3531 hourly,€1.6817 hourly,€17.2067 hourly,€13.9227 hourly
C7A Metal-48xl,c7a.metal-48xl,c7a,"35.820,896",313.0 fps,384 GiB,0 units,192 vCPUs,EBS only,50 Gigabit,750,€9.6372 hourly,€6.3531 hourly,€1.3758 hourly,€17.2067 hourly,€13.9227 hourly
C7G 16xlarge Extra Large,c7g.16xlarge,c7g,"25.572,177",243.0 fps,128 GiB,0 units,64 vCPUs,EBS only,30 Gigabit,750,€2.2613 hourly,€1.4907 hourly,€0.6586 hourly,unavailable,unavailable
